rmp1,rmp2,rmp3,rmp4,rmp5,rmp6,rmp7,rmp8,rmp9,rmp10
1.94651980578112e-05,1.94248982931395e-05,1.94768313370933e-05,1.9469135905974e-05,1.94373649410296e-05,1.94624359818721e-05,1.94499192997933e-05,1.94183341252913e-05,1.94330605770015e-05,1.94255262901279e-05
2.14151711497459e-05,2.13661626240834e-05,2.13720129502479e-05,2.13875785732778e-05,2.13664330161815e-05,2.13662069917419e-05,2.13893349094559e-05,2.13200092108063e-05,2.13466676178426e-05,2.1368440106176e-05
2.2366149928729e-05,2.24146079822456e-05,2.243382094503e-05,2.24104632353892e-05,2.2461905617044e-05,2.25087886757729e-05,2.24342345935091e-05,2.23989669377143e-05,2.24541267542429e-05,2.24658005382429e-05
2.30077040991891e-05,2.29919128544621e-05,2.29978976297508e-05,2.29960357408148e-05,2.29751370447134e-05,2.29503556018132e-05,2.30230461187311e-05,2.2943314140777e-05,2.29309549718479e-05,2.29762336148084e-05
2.348401043078e-05,2.3458030769177e-05,2.34823890854266e-05,2.34778445693689e-05,2.35106598336328e-05,2.34225851459293e-05,2.35042311688518e-05,2.34766838619701e-05,2.34691402306873e-05,2.34692174865679e-05
2.37263693441578e-05,2.37771830197452e-05,2.37367206688743e-05,2.37866835786234e-05,2.37767720080109e-05,2.3731090079644e-05,2.37715750534959e-05,2.3751708640505e-05,2.37709760238627e-05,2.3701103647456e-05
2.39944104655028e-05,2.40275659976272e-05,2.40020779217821e-05,2.40218220401259e-05,2.40398550335089e-05,2.3975761491637e-05,2.39846837213171e-05,2.3996264229946e-05,2.39882150060591e-05,2.39847737629054e-05
2.42780181849208e-05,2.43167226946656e-05,2.42642048556696e-05,2.42937136461745e-05,2.427192170379e-05,2.42560766438863e-05,2.42843519430238e-05,2.42298634422091e-05,2.42818229579229e-05,2.4228950161624e-05
2.46644826868296e-05,2.45578461080559e-05,2.45482951450822e-05,2.45596038896e-05,2.45447673364084e-05,2.45585712514407e-05,2.4524251241892e-05,2.45853691059856e-05,2.45613173645592e-05,2.45524157671989e-05
2.46199494200447e-05,2.44812224910505e-05,2.45892141282758e-05,2.45375057721728e-05,2.449979245291e-05,2.45354894513699e-05,2.454857715083e-05,2.45540873540866e-05,2.45151440169183e-05,2.455652324083e-05
2.44518431958249e-05,2.4466267624742e-05,2.44652460504819e-05,2.45184863949233e-05,2.44943951556176e-05,2.45053017200497e-05,2.45128518701695e-05,2.44874666711262e-05,2.44945612092461e-05,2.4533057744851e-05
2.4889120503315e-05,2.48416231996716e-05,2.47896574945836e-05,2.47433046722624e-05,2.48264710520169e-05,2.4814336591362e-05,2.48093553120086e-05,2.48321986913359e-05,2.47957526972046e-05,2.48541707765073e-05
2.46805047594251e-05,2.46296937438483e-05,2.46398740047475e-05,2.46457370242708e-05,2.46517295088351e-05,2.46812347393005e-05,2.46848655411757e-05,2.46352955137885e-05,2.46484142664901e-05,2.4656696071387e-05
2.50315509822512e-05,2.50604962960513e-05,2.50001422647642e-05,2.49974178635521e-05,2.50180471039606e-05,2.50835987000866e-05,2.50909655687066e-05,2.50450555282835e-05,2.50132266113825e-05,2.50242824544507e-05
2.48435367327482e-05,2.48268398076801e-05,2.48178993629709e-05,2.48125189362435e-05,2.48146090580214e-05,2.48579052347957e-05,2.48494498238829e-05,2.48331826045853e-05,2.4825070192336e-05,2.48464417936062e-05
