rmp1,rmp2,rmp3,rmp4,rmp5,rmp6,rmp7,rmp8,rmp9,rmp10
2.56012001075038e-05,2.55765903831894e-05,2.59775600319947e-05,2.57190774561598e-05,2.5470187675174e-05,2.56049402349171e-05,2.55793128799495e-05,2.55759159197138e-05,2.59196497920846e-05,2.52949742423934e-05
9.43522029632908e-06,9.36445348219286e-06,9.41980862582027e-06,9.51744747512832e-06,9.26196250095671e-06,9.32723301963431e-06,9.41250806168596e-06,9.64482771101584e-06,9.52024903097031e-06,9.55190570607779e-06
7.05289748030701e-06,7.05857249728004e-06,7.09142043800681e-06,7.01235275855227e-06,6.93874065941552e-06,7.17739271016876e-06,7.15214670482732e-06,7.26342302970584e-06,7.04160552810495e-06,7.0641671178742e-06
5.84626084979018e-06,6.04095176362065e-06,5.93034372037734e-06,5.76841783276131e-06,5.55330613566333e-06,5.9518935491136e-06,5.7672189791207e-06,5.69739309756222e-06,5.79332758736062e-06,5.65378265894547e-06
5.02053475254269e-06,4.89684472512294e-06,5.35073119074707e-06,5.1247169444262e-06,4.86505491917246e-06,4.91246695892375e-06,4.82307514707044e-06,4.92886377102772e-06,4.89040752287131e-06,5.06327589676271e-06
4.50416326086235e-06,4.56817267988037e-06,4.51957041835887e-06,4.49839959807416e-06,4.43403282419999e-06,4.64525813018733e-06,4.38724678009828e-06,4.53385552619491e-06,4.65214631019116e-06,4.60070486204314e-06
4.18120960718284e-06,3.99546797329757e-06,4.0299768016915e-06,4.03444736184694e-06,3.97200440879621e-06,4.27644892103823e-06,3.99387298790688e-06,4.1913816211369e-06,4.11938819682916e-06,4.28774959833358e-06
3.91723913740735e-06,4.09932371650378e-06,4.02354440619427e-06,3.88453694893991e-06,3.90726346637103e-06,3.71000703905323e-06,3.98147325733684e-06,4.02412822984277e-06,3.71586428111077e-06,3.96933050661224e-06
3.63220877085656e-06,3.60469482970953e-06,3.55512041806664e-06,3.71229907183007e-06,3.7897723730721e-06,3.73695230704927e-06,3.78858279262407e-06,3.7055432104205e-06,3.8647451258668e-06,3.82661778420722e-06
3.73119848173694e-06,3.64949847164647e-06,3.58129646597278e-06,3.74674000069465e-06,3.48386335451587e-06,3.65690464391359e-06,3.38886169679341e-06,3.72106934340171e-06,3.39831395996405e-06,3.52473874499465e-06
