rmp1,rmp2,rmp3,rmp4,rmp5,rmp6,rmp7,rmp8,rmp9,rmp10
1.94002663204716e-05,1.94524513342408e-05,1.93677850254673e-05,1.95366917766765e-05,1.94098853704159e-05,1.95868082486156e-05,1.92781600101448e-05,1.95383963368305e-05,1.93985277867509e-05,1.95423221908899e-05
2.14014284200602e-05,2.14804120669267e-05,2.11046722291427e-05,2.16011762091349e-05,2.15252739569209e-05,2.14015139019624e-05,2.15881647007152e-05,2.14697517390466e-05,2.12465653320168e-05,2.12919496279323e-05
2.20675578243349e-05,2.24607736865712e-05,2.23665267647146e-05,2.2510332958436e-05,2.24556052595892e-05,2.23403372096368e-05,2.25044084735348e-05,2.24601723606045e-05,2.24690095978113e-05,2.2362726208613e-05
2.30491754634351e-05,2.27134933872882e-05,2.31174974914423e-05,2.28128811987328e-05,2.29910006989676e-05,2.30723398628197e-05,2.30207610276359e-05,2.28744735843679e-05,2.30483180185375e-05,2.26933793190478e-05
2.37369699465391e-05,2.33991291825914e-05,2.35763983858682e-05,2.35362058683068e-05,2.35722025164708e-05,2.34638016294415e-05,2.34193714981314e-05,2.34739916357759e-05,2.34442590572522e-05,2.34116396253046e-05
2.39102195600317e-05,2.37206461018196e-05,2.40866797762681e-05,2.37503136008787e-05,2.35663984346529e-05,2.39579421487399e-05,2.34557481812485e-05,2.37765036955019e-05,2.38758520460636e-05,2.35440975564063e-05
2.41354067165635e-05,2.42629862745011e-05,2.40302308430868e-05,2.39721735687676e-05,2.42081183573811e-05,2.38076393014228e-05,2.38376808402737e-05,2.41388488373112e-05,2.37921194770721e-05,2.4138082043357e-05
2.42344513114937e-05,2.43976323810682e-05,2.39635493070931e-05,2.42373546689561e-05,2.41420023696893e-05,2.42882940779075e-05,2.4319966412797e-05,2.43621105329522e-05,2.41164117260895e-05,2.43958075160227e-05
2.45889143952773e-05,2.45552659254841e-05,2.4802101768783e-05,2.44389929707504e-05,2.45686707442602e-05,2.47456136744849e-05,2.49042919520801e-05,2.45138337831014e-05,2.41291339095986e-05,2.45828779594663e-05
2.4576187269283e-05,2.47267231736666e-05,2.47228956789224e-05,2.44963263220541e-05,2.44902822072693e-05,2.44717156697895e-05,2.46462882738419e-05,2.47706093447622e-05,2.46153588826591e-05,2.44881850367984e-05
2.45036235276816e-05,2.43423440000914e-05,2.44076548237056e-05,2.43791359718159e-05,2.45111373161878e-05,2.4401691406735e-05,2.45337774895898e-05,2.44828155890306e-05,2.43499353274581e-05,2.45102197483772e-05
2.46859604523365e-05,2.47541116241393e-05,2.48347961799295e-05,2.47517519627179e-05,2.45285081076624e-05,2.46713796864437e-05,2.472673247812e-05,2.46884721473317e-05,2.47675582290995e-05,2.50301787981874e-05
2.46102150244264e-05,2.48596419773831e-05,2.47701624748312e-05,2.46765742408983e-05,2.48753771450945e-05,2.46206068788487e-05,2.46772826900249e-05,2.45980366492295e-05,2.48026428237467e-05,2.48506750690065e-05
2.50086317944111e-05,2.5245670120573e-05,2.50877052782721e-05,2.50579733426797e-05,2.5110474503753e-05,2.50049924724058e-05,2.51693354790315e-05,2.51546835459085e-05,2.50405430368377e-05,2.49699535149291e-05
2.475540098338e-05,2.49265598072279e-05,2.49217531917675e-05,2.47928538936232e-05,2.51074030858924e-05,2.4842659417743e-05,2.47874382221436e-05,2.48509238521804e-05,2.47610854988705e-05,2.48471354666903e-05
2.50082729218804e-05,2.4959359654429e-05,2.48740695343034e-05,2.48684309108797e-05,2.50902227867346e-05,2.47651533613157e-05,2.51573681798159e-05,2.50156258510821e-05,2.4770082989869e-05,2.47316364671049e-05
2.52520867069163e-05,2.48104941722732e-05,2.48878462502688e-05,2.48980946017407e-05,2.4894955934065e-05,2.49049986930784e-05,2.47208707486052e-05,2.49031166840402e-05,2.48593609213855e-05,2.49499699682689e-05
2.48596354257908e-05,2.515194581726e-05,2.5059116526248e-05,2.51114372183773e-05,2.4913947695954e-05,2.49613190144083e-05,2.49934918169829e-05,2.53981374132687e-05,2.51318806936442e-05,2.51511208537847e-05
2.52214720905525e-05,2.50862874309341e-05,2.50917286224521e-05,2.53844705458845e-05,2.4957567614494e-05,2.51512197386655e-05,2.52107433196938e-05,2.49679224393394e-05,2.49890361506549e-05,2.53305396515877e-05
2.48494770796583e-05,2.51345322634065e-05,2.52544451007903e-05,2.51409727272869e-05,2.50557318973151e-05,2.49348719136097e-05,2.4777177370314e-05,2.49945488504609e-05,2.50436734116776e-05,2.48369211508682e-05
2.52657544936245e-05,2.51215002487472e-05,2.50825615446903e-05,2.50411500941056e-05,2.51126411518931e-05,2.5041743527481e-05,2.5161579440724e-05,2.50697629222854e-05,2.5192244858283e-05,2.51529864045438e-05
2.5292600825336e-05,2.5254355286023e-05,2.51903559598272e-05,2.51778528876142e-05,2.52411426462326e-05,2.55978746457982e-05,2.51043282840192e-05,2.51059476085811e-05,2.48925374028721e-05,2.49711909967073e-05
