rmp1,rmp2,rmp3,rmp4,rmp5,rmp6,rmp7,rmp8,rmp9,rmp10
2.64931744261759e-05,2.75202083845033e-05,2.56351774706697e-05,2.51962886449487e-05,2.27581973576138e-05,2.48488256428738e-05,2.781509484913e-05,2.65348612703129e-05,2.26401931317664e-05,2.75037598302385e-05
8.66174597081197e-06,9.57710804785821e-06,9.27320169772028e-06,1.04547175680283e-05,9.03129943342343e-06,1.00684939283516e-05,1.05491351997377e-05,8.78169317897418e-06,7.80102563391667e-06,8.8571234772322e-06
6.98885882147224e-06,6.3505344538019e-06,6.12686721503678e-06,8.71922043263666e-06,6.49833881895339e-06,7.19059490886147e-06,6.19368800338094e-06,8.14845044343025e-06,8.05233905592849e-06,6.19281929463053e-06
6.58621589234042e-06,5.10405005781595e-06,7.27750148972122e-06,5.35678285042342e-06,5.62485671685847e-06,8.69585221391435e-06,6.17536031210576e-06,5.70052469931469e-06,6.33824210302541e-06,7.01536864596372e-06
5.71892339128062e-06,6.2223361508609e-06,6.66406164633144e-06,7.10290762232454e-06,6.47328590093223e-06,3.55983640039909e-06,6.56039412356775e-06,4.33932656478497e-06,3.16039958788854e-06,4.97278804365848e-06
3.92639839870178e-06,5.39498003295191e-06,4.57896635762777e-06,3.45207472106038e-06,3.52065374408932e-06,2.2371713044056e-06,4.82748307827109e-06,5.18723949142369e-06,5.23565045465453e-06,3.57991959469822e-06
2.34437619266176e-06,1.58893424474657e-06,2.69053009908713e-06,3.48399867126137e-06,4.49846768499912e-06,4.58100228185973e-06,4.92878352523131e-06,4.85561731735284e-06,4.80518324682374e-06,5.3547681693027e-06
4.29527616712045e-06,5.35823757687672e-06,2.25220171070676e-06,3.3631094277544e-06,1.20959037035686e-06,2.53962012437554e-06,4.81897218629096e-06,6.77217108244683e-06,2.23618725756898e-06,3.23050262213109e-06
4.190355430375e-06,4.90799493266015e-06,4.09641929355786e-06,2.80611010668685e-06,2.4479622211466e-06,2.90900253832799e-06,4.78632539050562e-06,1.90263356037433e-06,3.640221889482e-06,5.84711951911424e-06
5.73769382997617e-06,3.28598373230699e-06,3.24600061100149e-06,4.84946048651727e-06,4.94873818506959e-06,4.08842583598973e-06,1.75052097174608e-06,2.62779667726715e-06,5.88428582184559e-06,2.73046042809118e-06
1.32229488184149e-06,2.13147757424414e-06,2.36902370616549e-06,3.25391859045572e-06,1.05423755838535e-06,1.68375158550632e-06,2.56179842292168e-06,1.78919548598098e-06,2.82082394899846e-06,2.67888293096302e-06
2.93260117290848e-06,2.34564863169219e-06,3.61991705325223e-06,6.05017266018001e-06,5.43298211037504e-06,4.94800612671295e-06,2.9345851029996e-06,2.62755747389435e-06,1.52880173748728e-06,2.54477908890672e-06
