rmp1,rmp2,rmp3,rmp4,rmp5,rmp6,rmp7,rmp8,rmp9,rmp10
2.00981233114318e-05,1.82691391030991e-05,1.96127493027446e-05,2.00846587166442e-05,1.89063921654635e-05,1.94337647203971e-05,1.89867998267416e-05,1.96683933121318e-05,2.09398085844217e-05,1.9454758243282e-05
2.20160430172343e-05,2.27464497096614e-05,2.0475538120358e-05,2.43321578375946e-05,2.2858645037129e-05,2.05298644662927e-05,2.21341755078411e-05,2.07499236810553e-05,2.13394258185179e-05,2.29094506743146e-05
2.24283216856732e-05,2.27628087817432e-05,2.29777690835424e-05,2.24859220215542e-05,2.16785879018055e-05,2.25271745153722e-05,2.34012407436075e-05,2.24828973530427e-05,2.3107220489909e-05,2.19677277808238e-05
2.24845132278244e-05,2.37833474749379e-05,2.73283056391809e-05,2.37911559146229e-05,2.29165243831363e-05,2.52588524046076e-05,2.35090241211465e-05,2.28292693024648e-05,2.63792132168872e-05,2.29389755294667e-05
2.28630390252355e-05,2.37849302252325e-05,2.36129220576857e-05,2.51720262941132e-05,2.20138686629446e-05,2.32106580872444e-05,2.14673144435743e-05,2.60642593825506e-05,2.54545771902376e-05,2.13432478939399e-05
2.13539192665942e-05,2.49048982313859e-05,2.36988929100411e-05,2.44823977202426e-05,2.46166268502761e-05,2.27305239066896e-05,2.32889247093026e-05,2.2198990764022e-05,2.18858611926614e-05,2.41905193668373e-05
2.55552796550125e-05,2.61443711266488e-05,2.52196680229359e-05,2.27774034488234e-05,2.43588355960811e-05,2.59534464182379e-05,2.12135766202833e-05,2.32130332019256e-05,2.4267729384301e-05,2.41334931857105e-05
2.51668912569455e-05,2.3658291429449e-05,2.20584188349972e-05,2.40406954299496e-05,2.4892381846458e-05,2.55022697459971e-05,2.3727010466791e-05,2.46397657636722e-05,2.57733283560349e-05,2.5014707988911e-05
2.3026779497862e-05,2.53301522878724e-05,2.61578960743303e-05,2.3633607409281e-05,2.45252776380435e-05,2.38207656643961e-05,2.34470009699815e-05,2.71838846795643e-05,2.23940793116508e-05,2.5041321941179e-05
2.24537981917995e-05,2.55017438479468e-05,2.33437653221776e-05,2.55405425940655e-05,2.34928343746125e-05,2.35000430432461e-05,2.44059295933881e-05,2.49053685176687e-05,2.49496551207272e-05,2.35956730524498e-05
2.39455141605079e-05,2.44776094324459e-05,2.52920767895534e-05,2.66669815876369e-05,2.43694215151563e-05,2.64840652943579e-05,2.50234015250068e-05,2.60604068030804e-05,2.43936619344101e-05,2.54285071595581e-05
2.57655824760278e-05,2.75055437283755e-05,2.5194256981771e-05,2.47723224730367e-05,2.2988459256066e-05,2.48476701741922e-05,2.59764205018607e-05,2.58670353412978e-05,2.52109007206219e-05,2.84923559984746e-05
2.58368110794794e-05,2.32768895920374e-05,2.45652709913398e-05,2.61507299306436e-05,2.41814513682366e-05,2.49218266454609e-05,2.4457657847887e-05,2.56761097775544e-05,2.35221592587392e-05,2.37533975759135e-05
2.57888988410931e-05,2.4346270726779e-05,2.40195800990003e-05,2.40485822779086e-05,2.82941614997311e-05,2.55269850965447e-05,2.50900693402048e-05,2.68530551167014e-05,2.24511944062338e-05,2.63509632799863e-05
2.59088080576863e-05,2.49334291048633e-05,2.54131338975734e-05,2.50484792978614e-05,2.7186869242903e-05,2.39342647881386e-05,2.62554404164597e-05,2.80616044414386e-05,2.33076285956783e-05,2.40067569013463e-05
2.73702412409807e-05,2.49270307510689e-05,2.6479378003834e-05,2.46405888755946e-05,2.61164561728147e-05,2.6428954664117e-05,2.67226878817279e-05,2.50985868642325e-05,2.75398476295016e-05,2.36060911873028e-05
2.24845717498678e-05,2.45784654583862e-05,2.58581357801064e-05,2.71974330173826e-05,2.55124642970582e-05,2.82190999190834e-05,2.52008630850974e-05,2.44834382240273e-05,2.47099753256806e-05,2.33064258993376e-05
2.57102382903087e-05,2.43686828944862e-05,2.70198095374563e-05,2.54621356778781e-05,2.62148649067562e-05,2.1530541438284e-05,2.62639091857361e-05,2.53112627877921e-05,2.37018365273086e-05,2.58598532234333e-05
2.51265838990766e-05,2.63687500704048e-05,2.32407940011091e-05,2.62883679414573e-05,2.57538277562957e-05,2.54831246752279e-05,2.41717399231412e-05,2.4774836610521e-05,2.72779084174829e-05,2.5250318360987e-05
2.39949233594641e-05,2.4967963298312e-05,2.50805576394285e-05,2.45711229293e-05,2.63702069162811e-05,2.63894437948765e-05,2.72943452252558e-05,2.17866332891631e-05,2.63521660452155e-05,2.62881612539633e-05
2.60946931789413e-05,2.394144045341e-05,2.31731670809755e-05,2.41864576018216e-05,2.67858117757482e-05,2.39568846559056e-05,2.41449481213765e-05,2.49177894017974e-05,2.38625333137728e-05,2.48131141213724e-05
2.50855417659972e-05,2.7514144092775e-05,2.52553515081405e-05,2.56511802033252e-05,2.36499557187539e-05,2.52201609695326e-05,2.40085513033735e-05,2.53305462368806e-05,2.66125981551958e-05,2.34321546400549e-05
2.69961615709886e-05,2.65891838029771e-05,2.60655062126497e-05,2.41432734502289e-05,2.50300682860497e-05,2.55411051358933e-05,2.60605490265925e-05,2.47822977486772e-05,2.68693600284721e-05,2.50196675249112e-05
2.36335891103821e-05,2.7199229612794e-05,2.40100322466198e-05,2.31704220480808e-05,2.5056626817123e-05,2.42473527098023e-05,2.50026633281954e-05,2.47884852324731e-05,2.40014201673959e-05,2.49907418275016e-05
2.38954375736878e-05,2.50555294240461e-05,2.69063927811077e-05,2.46663407497561e-05,2.43087652838057e-05,2.60919495428021e-05,2.2851092574427e-05,2.68405488840708e-05,2.58563710644729e-05,2.59588588672611e-05
2.58292364787805e-05,2.79243649179127e-05,2.45455363188624e-05,2.74768332658581e-05,2.38115538612517e-05,2.69336546811609e-05,2.67394878896217e-05,2.53332950348549e-05,2.4692687103567e-05,2.35059211158843e-05
2.39439661090783e-05,2.649814364657e-05,2.60794492122357e-05,2.46438528395242e-05,2.69962633306219e-05,2.55138257154891e-05,2.61808903188606e-05,2.51560777174114e-05,2.69661322028245e-05,2.25933798008297e-05
2.52530087707346e-05,2.2526220522797e-05,2.45902543864713e-05,2.53937708631765e-05,2.60255095226544e-05,2.56041229303618e-05,2.74103102723039e-05,2.4146964374558e-05,2.32979469984231e-05,2.57301628386068e-05
2.46403077547844e-05,2.3420031571406e-05,2.41365685784494e-05,2.43692064344637e-05,2.39211032306093e-05,2.44359450377596e-05,2.56250410132176e-05,2.44207620499967e-05,2.4630938759903e-05,2.41108148217265e-05
2.6998305363471e-05,2.62731979365783e-05,2.44064732945801e-05,2.25504446680084e-05,2.3960548382867e-05,2.70291321147789e-05,2.64447089707111e-05,2.53057235394108e-05,2.66083831939886e-05,2.47547070205213e-05
2.59371668361485e-05,2.51557876853393e-05,2.32692027898898e-05,2.53206036247123e-05,2.59237750013823e-05,2.51924175766143e-05,2.36926167862004e-05,2.55008032404299e-05,2.52075922369599e-05,2.60978742476973e-05
2.47614333708601e-05,2.51334119937017e-05,2.74859986167688e-05,2.7730372653514e-05,2.43631084808771e-05,2.59594616278211e-05,2.79647102825184e-05,2.58859010105552e-05,2.61513022124263e-05,2.5362576405553e-05
2.44389845639668e-05,2.68606743063022e-05,2.1882904712944e-05,2.48731066641469e-05,2.36480704226247e-05,2.70019965951702e-05,2.86933281044452e-05,2.76528092847775e-05,2.7797397228778e-05,2.55747598078617e-05
